,RANK,Team,CONFERENCE,DIVISION,WIN,LOSS,W/L%,MARGIN,OFFR,DEFR,NETR,MOV/A,ORtg/A,DRtg/A,NRtg/A
2022,1,Phoenix Suns,W,P,64,18,0.78,7.5,115.65,108.17,7.48,6.94,115.41,108.5,6.91
2022,2,Memphis Grizzlies,W,SW,56,26,0.683,5.68,115.5,109.94,5.56,5.37,115.38,110.14,5.24
2022,3,Golden State Warriors,W,P,53,29,0.646,5.54,113.33,107.68,5.65,5.52,113.24,107.62,5.62
2022,4,Miami Heat,E,SE,53,29,0.646,4.45,114.83,110.21,4.62,4.23,114.61,110.21,4.4
2022,5,Dallas Mavericks,W,SW,52,30,0.634,3.3,113.82,110.27,3.55,3.12,113.76,110.41,3.35
2022,6,Boston Celtics,E,A,51,31,0.622,7.28,115.37,107.71,7.66,7.02,115.05,107.65,7.39
2022,7,Milwaukee Bucks,E,C,51,31,0.622,3.35,115.86,112.56,3.31,3.22,115.86,112.67,3.18
2022,8,Philadelphia 76ers,E,A,51,31,0.622,2.61,114.39,111.8,2.59,2.57,114.42,111.86,2.56
2022,9,Utah Jazz,W,NW,49,33,0.598,6.04,117.68,111.52,6.16,5.67,117.63,111.84,5.79
2022,10,Toronto Raptors,E,A,48,34,0.585,2.29,113.93,111.55,2.38,2.37,113.86,111.4,2.46
2022,11,Denver Nuggets,W,NW,48,34,0.585,2.3,115.21,112.88,2.33,2.16,115.25,113.08,2.17
2022,12,Minnesota Timberwolves,W,NW,46,36,0.561,2.63,115.15,112.6,2.54,2.53,115.23,112.79,2.44
2022,13,Chicago Bulls,E,C,46,36,0.561,-0.39,114.07,114.55,-0.48,-0.37,114.13,114.58,-0.45
2022,14,Cleveland Cavaliers,E,C,44,38,0.537,2.12,112.92,110.79,2.13,2.04,112.66,110.62,2.05
2022,15,Brooklyn Nets,E,A,44,38,0.537,0.78,114.69,113.93,0.76,0.82,114.84,114.03,0.81
2022,16,Atlanta Hawks,E,SE,43,39,0.524,1.56,117.29,115.71,1.58,1.55,117.42,115.84,1.58
2022,17,Charlotte Hornets,E,SE,43,39,0.524,0.44,114.94,114.44,0.5,0.53,115.02,114.42,0.6
2022,18,Los Angeles Clippers,W,P,42,40,0.512,0.02,110.86,110.92,-0.06,0.09,110.85,110.85,0
2022,19,New York Knicks,E,A,37,45,0.451,-0.12,111.47,111.55,-0.08,-0.01,111.35,111.31,0.04
2022,20,New Orleans Pelicans,W,SW,36,46,0.439,-0.99,112.84,113.82,-0.98,-0.84,112.93,113.77,-0.84
2022,21,Washington Wizards,E,SE,35,47,0.427,-3.38,111.72,115.33,-3.61,-3.23,111.79,115.23,-3.43
2022,22,San Antonio Spurs,W,SW,34,48,0.415,0.12,113.04,113,0.03,0.02,113.09,113.16,-0.07
2022,23,Los Angeles Lakers,W,P,33,49,0.402,-3.05,111.15,114.17,-3.02,-3.08,111.22,114.3,-3.07
2022,24,Sacramento Kings,W,P,30,52,0.366,-5.46,110.69,116.28,-5.59,-5.26,110.92,116.31,-5.38
2022,25,Portland Trail Blazers,W,NW,27,55,0.329,-8.88,108.8,117.93,-9.13,-8.55,109.03,117.84,-8.81
2022,26,Indiana Pacers,E,C,25,57,0.305,-3.48,113.6,117.11,-3.51,-3.26,113.74,117.03,-3.28
2022,27,Oklahoma City Thunder,W,NW,24,58,0.293,-8.1,105.25,113.42,-8.18,-7.9,105.18,113.16,-7.98
2022,28,Detroit Pistons,E,C,23,59,0.28,-7.72,106.96,114.67,-7.71,-7.35,107.02,114.36,-7.34
2022,29,Orlando Magic,E,SE,22,60,0.268,-8,105.25,113.25,-8,-7.67,105.16,112.82,-7.66
2022,30,Houston Rockets,W,SW,20,62,0.244,-8.48,109.28,117.77,-8.49,-8.26,109.47,117.75,-8.28
2021,1,Utah Jazz,W,NW,52,20,0.722,9.25,118.42,108.94,9.48,8.96,118.23,109.04,9.2
2021,2,Phoenix Suns,W,P,51,21,0.708,5.82,118.01,112.14,5.87,5.67,117.96,112.22,5.74
2021,3,Philadelphia 76ers,E,A,49,23,0.681,5.58,114.13,108.51,5.62,5.28,113.96,108.66,5.3
2021,4,Brooklyn Nets,E,A,48,24,0.667,4.5,118.91,114.4,4.52,4.24,119,114.76,4.24
2021,5,Los Angeles Clippers,W,P,47,25,0.653,6.18,118.39,112.13,6.26,6.02,118.34,112.23,6.11
2021,6,Denver Nuggets,W,NW,47,25,0.653,4.93,118.04,113.01,5.03,4.82,118.02,113.1,4.92
2021,7,Milwaukee Bucks,E,C,46,26,0.639,5.89,117.68,112.03,5.65,5.57,117.67,112.34,5.33
2021,8,Los Angeles Lakers,W,P,42,30,0.583,2.79,110.52,107.84,2.68,2.76,110.28,107.6,2.67
2021,9,Dallas Mavericks,W,SW,42,30,0.583,2.26,116.16,113.79,2.37,2.26,116.18,113.8,2.38
2021,10,Portland Trail Blazers,W,NW,42,30,0.583,1.79,118.28,116.58,1.7,1.8,118.42,116.68,1.73
2021,11,New York Knicks,E,A,41,31,0.569,2.31,111.38,108.97,2.41,2.13,111.23,109.01,2.21
2021,12,Atlanta Hawks,E,SE,41,31,0.569,2.32,116.28,113.89,2.38,2.14,116.33,114.14,2.19
2021,13,Miami Heat,E,SE,40,32,0.556,0.03,112.12,111.98,0.13,-0.06,112.09,112.06,0.03
2021,14,Golden State Warriors,W,P,39,33,0.542,1.06,111.74,110.65,1.09,1.1,111.61,110.47,1.14
2021,15,Memphis Grizzlies,W,SW,38,34,0.528,1.03,112.77,111.77,1,1.07,112.69,111.63,1.06
2021,16,Boston Celtics,E,A,36,36,0.5,1.46,114.66,113.29,1.37,1.32,114.69,113.47,1.22
2021,17,Indiana Pacers,E,C,34,38,0.472,-0.04,112.98,112.96,0.02,-0.12,112.99,113.07,-0.08
2021,18,Washington Wizards,E,SE,34,38,0.472,-1.83,111.75,113.63,-1.88,-1.84,111.79,113.69,-1.91
2021,19,San Antonio Spurs,W,SW,33,39,0.458,-1.74,111.61,113.35,-1.74,-1.58,111.59,113.17,-1.57
2021,20,Charlotte Hornets,E,SE,33,39,0.458,-1.93,111.62,113.69,-2.07,-1.94,111.66,113.75,-2.08
2021,21,New Orleans Pelicans,W,SW,31,41,0.431,-0.29,114.47,114.78,-0.32,-0.2,114.52,114.73,-0.21
2021,22,Chicago Bulls,E,C,31,41,0.431,-0.89,111.9,112.81,-0.91,-0.94,111.9,112.87,-0.97
2021,23,Sacramento Kings,W,P,31,41,0.431,-3.68,114.4,118,-3.6,-3.45,114.59,117.94,-3.36
2021,24,Toronto Raptors,E,A,27,45,0.375,-0.47,112.96,113.44,-0.48,-0.54,113,113.55,-0.56
2021,25,Minnesota Timberwolves,W,NW,23,49,0.319,-5.56,110.18,115.55,-5.36,-5.25,110.26,115.31,-5.05
2021,26,Cleveland Cavaliers,E,C,22,50,0.306,-8.44,106.85,115.65,-8.8,-8.19,106.96,115.51,-8.55
2021,27,Oklahoma City Thunder,W,NW,22,50,0.306,-10.64,104.32,114.8,-10.48,-10.13,104.36,114.32,-9.96
2021,28,Orlando Magic,E,SE,21,51,0.292,-9.31,105.74,115.22,-9.48,-9.02,105.83,115.03,-9.2
2021,29,Detroit Pistons,E,C,20,52,0.278,-4.47,108.9,113.53,-4.63,-4.38,108.93,113.48,-4.55
2021,30,Houston Rockets,W,SW,17,55,0.236,-7.9,107.85,115.69,-7.84,-7.5,107.93,115.35,-7.42
2020,1,Milwaukee Bucks,E,C,56,17,0.767,10.08,112.98,103.36,9.62,9.41,112.69,103.73,8.96
2020,2,Toronto Raptors,E,A,53,19,0.736,6.24,112.02,105.85,6.18,5.97,111.99,106.08,5.9
2020,3,Los Angeles Lakers,W,P,52,19,0.732,5.79,112.78,107.14,5.65,6.28,112.83,106.68,6.16
2020,4,Los Angeles Clippers,W,P,49,23,0.681,6.44,114.66,108.25,6.41,6.66,114.56,107.94,6.62
2020,5,Boston Celtics,E,A,48,24,0.667,6.31,114.14,107.79,6.35,5.83,114.01,108.15,5.86
2020,6,Denver Nuggets,W,NW,46,27,0.63,2.11,114.06,111.9,2.15,2.35,114.06,111.66,2.4
2020,7,Indiana Pacers,E,C,45,28,0.616,1.96,110.9,108.77,2.12,1.63,110.94,109.17,1.77
2020,8,Houston Rockets,W,SW,44,28,0.611,2.96,113.71,110.82,2.89,3.13,113.68,110.59,3.08
2020,9,Utah Jazz,W,NW,44,28,0.611,2.47,113.14,110.48,2.66,2.52,113.09,110.38,2.71
2020,10,Miami Heat,E,SE,44,29,0.603,2.95,113.29,110.36,2.93,2.59,113.22,110.65,2.58
2020,11,Oklahoma City Thunder,W,NW,44,28,0.611,1.99,111.74,109.66,2.09,2.32,111.74,109.32,2.42
2020,12,Dallas Mavericks,W,SW,43,32,0.573,4.95,117.5,112.53,4.97,4.87,117.41,112.52,4.9
2020,13,Philadelphia 76ers,E,A,43,30,0.589,2.38,112.09,109.77,2.32,2.25,112.15,109.97,2.18
2020,14,Portland Trail Blazers,W,NW,35,39,0.473,-1.15,114.26,115.41,-1.15,-0.61,114.48,115.09,-0.61
2020,15,Brooklyn Nets,E,A,35,37,0.486,-0.57,109.68,110.25,-0.57,-1.01,109.63,110.64,-1.01
2020,16,Phoenix Suns,W,P,34,39,0.466,0.22,112.38,112.27,0.11,0.56,112.41,111.94,0.47
2020,17,Memphis Grizzlies,W,SW,34,39,0.466,-1.07,109.97,110.91,-0.94,-0.91,109.87,110.65,-0.78
2020,18,Orlando Magic,E,SE,33,40,0.452,-1.01,109.1,110.28,-1.18,-0.93,109.18,110.27,-1.09
2020,19,San Antonio Spurs,W,SW,32,39,0.451,-1.11,112.98,114.17,-1.2,-0.65,113.13,113.86,-0.73
2020,20,Sacramento Kings,W,P,31,41,0.431,-2.04,111.09,113.03,-1.94,-1.59,111.17,112.65,-1.48
2020,21,New Orleans Pelicans,W,SW,30,42,0.417,-1.29,111.42,112.62,-1.2,-0.55,111.73,112.18,-0.46
2020,22,Washington Wizards,E,SE,25,47,0.347,-4.67,111.69,116.16,-4.46,-5.24,111.64,116.7,-5.05
2020,23,Charlotte Hornets,E,SE,23,42,0.354,-6.75,107.32,114.21,-6.89,-7.04,107.38,114.56,-7.18
2020,24,Chicago Bulls,E,C,22,43,0.338,-3.08,107.6,110.74,-3.14,-4,107.22,111.29,-4.07
2020,25,New York Knicks,E,A,21,45,0.318,-6.45,107.1,113.52,-6.42,-6.72,106.91,113.6,-6.7
2020,26,Detroit Pistons,E,C,20,46,0.303,-3.56,109.96,113.59,-3.63,-4.38,109.77,114.23,-4.45
2020,27,Atlanta Hawks,E,SE,20,47,0.299,-7.97,107.86,115.47,-7.61,-7.71,108.18,115.56,-7.37
2020,28,Minnesota Timberwolves,W,NW,19,45,0.297,-4.3,108.91,113.03,-4.12,-4.02,108.9,112.73,-3.83
2020,29,Cleveland Cavaliers,E,C,19,46,0.292,-7.89,108.14,116.2,-8.05,-7.77,108.46,116.41,-7.94
2020,30,Golden State Warriors,W,P,15,50,0.231,-8.71,105.93,114.66,-8.74,-8.12,105.98,114.11,-8.13
2019,1,Milwaukee Bucks,E,C,60,22,0.732,8.87,114.23,105.76,8.47,8.05,113.89,106.23,7.66
2019,2,Toronto Raptors,E,A,58,24,0.707,6.09,113.99,108,5.99,5.49,113.78,108.4,5.38
2019,3,Golden State Warriors,W,P,57,25,0.695,6.46,116.63,110.24,6.39,6.42,116.6,110.24,6.37
2019,4,Denver Nuggets,W,NW,54,28,0.659,3.95,113.76,109.62,4.14,4.2,113.74,109.35,4.39
2019,5,Houston Rockets,W,SW,53,29,0.646,4.77,116.25,111.43,4.82,4.97,116.45,111.43,5.03
2019,6,Portland Trail Blazers,W,NW,53,29,0.646,4.2,115.45,111.07,4.38,4.44,115.63,111.01,4.62
2019,7,Philadelphia 76ers,E,A,51,31,0.622,2.7,113.21,110.58,2.64,2.26,113.16,110.97,2.19
2019,8,Utah Jazz,W,NW,50,32,0.61,5.26,111.35,106.11,5.24,5.29,111.23,105.94,5.28
2019,9,Boston Celtics,E,A,49,33,0.598,4.44,112.78,108.35,4.43,3.9,112.57,108.69,3.88
2019,10,Oklahoma City Thunder,W,NW,49,33,0.598,3.4,110.85,107.53,3.31,3.56,110.71,107.22,3.49
2019,11,Indiana Pacers,E,C,48,34,0.585,3.33,110.62,107.23,3.39,2.76,110.31,107.5,2.8
2019,12,San Antonio Spurs,W,SW,48,34,0.585,1.68,113.3,111.55,1.75,1.81,113.3,111.42,1.88
2019,13,Los Angeles Clippers,W,P,48,34,0.585,0.85,113.14,112.33,0.81,1.09,113.29,112.22,1.06
2019,14,Orlando Magic,E,SE,42,40,0.512,0.71,109.46,108.82,0.65,0.28,109.26,109.05,0.21
2019,15,Brooklyn Nets,E,A,42,40,0.512,-0.07,110.3,110.36,-0.06,-0.4,110.15,110.56,-0.41
2019,16,Detroit Pistons,E,C,41,41,0.5,-0.24,109.93,110.13,-0.2,-0.55,109.86,110.38,-0.53
2019,17,Miami Heat,E,SE,39,43,0.476,-0.23,108.22,108.35,-0.13,-0.45,108.03,108.39,-0.36
2019,18,Sacramento Kings,W,P,39,43,0.476,-1.12,111.17,112.19,-1.02,-0.81,111.29,112,-0.71
2019,19,Charlotte Hornets,E,SE,39,43,0.476,-1.1,112.1,113.16,-1.06,-1.31,112.11,113.41,-1.3
2019,20,Los Angeles Lakers,W,P,37,45,0.451,-1.72,108.52,110.18,-1.66,-1.32,108.46,109.71,-1.26
2019,21,Minnesota Timberwolves,W,NW,36,46,0.439,-1.5,112.04,113.54,-1.51,-1.02,112.31,113.32,-1.01
2019,22,Dallas Mavericks,W,SW,33,49,0.402,-1.28,110.19,111.41,-1.22,-0.86,110.29,111.08,-0.79
2019,23,New Orleans Pelicans,W,SW,33,49,0.402,-1.33,111.85,113.1,-1.25,-1.1,111.98,112.98,-1.01
2019,24,Memphis Grizzlies,W,SW,33,49,0.402,-2.6,106.96,109.66,-2.7,-2.08,106.93,109.09,-2.17
2019,25,Washington Wizards,E,SE,32,50,0.39,-2.9,111.72,114.56,-2.84,-3.3,111.72,114.97,-3.25
2019,26,Atlanta Hawks,E,SE,29,53,0.354,-6.02,108.71,114.41,-5.7,-6.06,108.83,114.59,-5.76
2019,27,Chicago Bulls,E,C,22,60,0.268,-8.41,105.45,113.94,-8.49,-8.32,105.49,113.9,-8.41
2019,28,Phoenix Suns,W,P,19,63,0.232,-9.34,106.29,115.55,-9.26,-8.61,106.59,115.11,-8.52
2019,29,Cleveland Cavaliers,E,C,19,63,0.232,-9.61,108.5,118.54,-10.04,-9.39,108.83,118.64,-9.82
2019,30,New York Knicks,E,A,17,65,0.207,-9.21,105.13,114.39,-9.26,-8.92,105.31,114.3,-8.98
2018,1,Houston Rockets,W,SW,65,17,0.793,8.48,115.48,106.84,8.64,8.21,115.45,107.08,8.37
2018,2,Toronto Raptors,E,A,59,23,0.72,7.78,114.6,106.56,8.03,7.3,114.5,106.96,7.54
2018,3,Golden State Warriors,W,P,58,24,0.707,5.98,114.31,108.43,5.88,5.79,114.33,108.62,5.7
2018,4,Utah Jazz,W,NW,48,34,0.585,4.3,109.07,104.56,4.51,4.47,108.92,104.24,4.68
2018,5,Philadelphia 76ers,E,A,52,30,0.634,4.5,110.28,105.77,4.51,4.3,110.12,105.81,4.31
2018,6,Oklahoma City Thunder,W,NW,48,34,0.585,3.41,111.48,108.02,3.47,3.42,111.5,108.03,3.47
2018,7,Boston Celtics,E,A,55,27,0.671,3.59,108.4,104.65,3.75,3.24,108.14,104.75,3.39
2018,8,San Antonio Spurs,W,SW,47,35,0.573,2.89,108.49,105.36,3.13,2.89,108.35,105.23,3.12
2018,9,Portland Trail Blazers,W,NW,49,33,0.598,2.6,109.58,106.93,2.66,2.6,109.44,106.79,2.66
2018,10,Minnesota Timberwolves,W,NW,47,35,0.573,2.23,114.24,111.86,2.38,2.35,114.41,111.91,2.5
2018,11,Denver Nuggets,W,NW,46,36,0.561,1.48,113.02,111.4,1.62,1.57,113.21,111.5,1.71
2018,12,New Orleans Pelicans,W,SW,48,34,0.585,1.3,110.29,109.05,1.24,1.48,110.37,108.95,1.42
2018,13,Indiana Pacers,E,C,48,34,0.585,1.38,110.24,108.8,1.44,1.18,110.17,108.94,1.24
2018,14,Cleveland Cavaliers,E,C,50,32,0.61,0.94,113.58,112.56,1.02,0.59,113.61,112.94,0.67
2018,15,Washington Wizards,E,SE,43,39,0.524,0.59,109.96,109.41,0.55,0.53,110,109.49,0.5
2018,16,Miami Heat,E,SE,44,38,0.537,0.48,107.63,107.12,0.51,0.15,107.47,107.28,0.18
2018,17,Los Angeles Clippers,W,P,42,40,0.512,0.04,110.97,111.02,-0.05,0.15,111.06,111,0.07
2018,18,Charlotte Hornets,E,SE,36,46,0.439,0.26,109.95,109.72,0.23,0.07,109.93,109.89,0.04
2018,19,Detroit Pistons,E,C,39,43,0.476,-0.15,107.95,108.14,-0.19,-0.26,107.84,108.14,-0.3
2018,20,Milwaukee Bucks,E,C,44,38,0.537,-0.3,110.67,110.98,-0.31,-0.45,110.7,111.16,-0.46
2018,21,Los Angeles Lakers,W,P,35,47,0.427,-1.55,107.1,108.64,-1.54,-1.43,106.96,108.39,-1.43
2018,22,Dallas Mavericks,W,SW,24,58,0.293,-3.04,106.92,110,-3.08,-2.7,106.96,109.7,-2.74
2018,23,New York Knicks,E,A,29,53,0.354,-3.56,107.72,111.36,-3.65,-3.53,107.77,111.38,-3.61
2018,24,Brooklyn Nets,E,A,28,54,0.341,-3.74,107.71,111.51,-3.8,-3.67,107.83,111.55,-3.72
2018,25,Orlando Magic,E,SE,25,57,0.305,-4.82,105.83,110.85,-5.02,-4.92,105.77,110.88,-5.11
2018,26,Atlanta Hawks,E,SE,24,58,0.293,-5.45,105.74,111.21,-5.47,-5.3,105.81,111.12,-5.31
2018,27,Memphis Grizzlies,W,SW,22,60,0.268,-6.21,105.29,111.85,-6.57,-5.81,105.44,111.59,-6.15
2018,28,Chicago Bulls,E,C,27,55,0.329,-7.04,104.39,111.61,-7.22,-6.84,104.46,111.47,-7.01
2018,29,Sacramento Kings,W,P,27,55,0.329,-6.99,104.47,111.9,-7.43,-6.59,104.6,111.62,-7.02
2018,30,Phoenix Suns,W,P,21,61,0.256,-9.37,104.25,113.51,-9.26,-8.8,104.5,113.19,-8.69
2017,1,Golden State Warriors,W,P,67,15,0.817,11.63,116.26,104.57,11.69,11.35,116.02,104.61,11.41
2017,2,San Antonio Spurs,W,SW,61,21,0.744,7.2,111.81,104.25,7.56,7.13,111.62,104.12,7.49
2017,3,Houston Rockets,W,SW,55,27,0.671,5.77,115.59,109.96,5.63,5.84,115.7,109.98,5.72
2017,4,Los Angeles Clippers,W,P,51,31,0.622,4.29,113.38,108.88,4.5,4.42,113.46,108.82,4.64
2017,5,Utah Jazz,W,NW,51,31,0.622,3.94,110.46,106.19,4.27,4,110.31,105.98,4.33
2017,6,Toronto Raptors,E,A,51,31,0.622,4.21,113.2,108.68,4.51,3.65,113.07,109.14,3.93
2017,7,Cleveland Cavaliers,E,C,51,31,0.622,3.18,114.25,110.99,3.27,2.88,114.33,111.38,2.95
2017,8,Boston Celtics,E,A,53,29,0.646,2.63,111.88,109.16,2.72,2.25,111.81,109.49,2.33
2017,9,Washington Wizards,E,SE,49,33,0.598,1.8,111.98,110.06,1.92,1.36,111.96,110.49,1.46
2017,10,Oklahoma City Thunder,W,NW,47,35,0.573,0.76,108.95,108.17,0.78,1.15,108.94,107.75,1.18
2017,11,Memphis Grizzlies,W,SW,43,39,0.524,0.49,108.59,107.89,0.7,0.96,108.71,107.55,1.17
2017,12,Miami Heat,E,SE,41,41,0.5,1.06,108.73,107.65,1.09,0.78,108.62,107.84,0.79
2017,13,Denver Nuggets,W,NW,40,42,0.488,0.51,113.9,113.43,0.47,0.7,114.06,113.39,0.67
2017,14,Charlotte Hornets,E,SE,36,46,0.439,0.2,109.57,109.31,0.25,-0.06,109.53,109.55,-0.02
